Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2
1217;7;FORTALEZA/CE;FLAMENGO/RJ;Sábado;1;0;0;5,5;3,6;1,66
1217;8;SAO PAULO/SP;BAHIA/BA;Sábado;1;0;0;1,95;3,4;4
1217;9;ASTON VILLA;MANCHESTER CITY;Domingo;1;0;0;4,33;3,8;1,8
1217;10;BOTAFOGO/RJ;SANTOS/SP;Domingo;0;1;0;1,85;3,5;4,33
1217;11;GREMIO/RS;JUVENTUDE/RS;Domingo;1;0;0;1,75;3,5;5
1217;12;CRB/AL;ATLETICO/GO;Domingo;1;0;0;2;3,4;3,7
1217;13;BRAGANTINO/SP;VASCO DA GAMA/RJ;Domingo;0;0;1;2,05;3,5;3,5
1217;14;VILA NOVA/GO;FERROVIARIA/SP;Domingo;0;1;0;1,8;3,4;4,75
1216;1;FLAMENGO/RJ;PALMEIRAS/SP;Domingo;1;0;0;1,9;3,5;4
1216;2;INTERNACIONAL/RS;SPORT/PE;Domingo;1;0;0;1,7;3,7;5
1216;3;CORINTHIANS/SP;ATLETICO/MG;Sábado;1;0;0;2,05;3,25;3,9
1216;4;ROMA;INTER DE MILAO;Sábado;0;0;1;3,4;3,2;2,2
1216;5;ATLETICO MADRID;OSASUNA;Sábado;1;0;0;1,36;5;8
1216;6;CRUZEIRO/MG;FORTALEZA/CE;Sábado;1;0;0;1,44;4,75;7
1216;7;TOTTENHAM;ASTON VILLA;Domingo;0;0;1;2;3,5;3,6
1216;8;MIRASSOL/SP;SAO PAULO/SP;Domingo;1;0;0;2,35;3,1;3,2
1216;9;CEARA/CE;BOTAFOGO/RJ;Domingo;0;0;1;2,7;3;2,87
1216;10;LIVERPOOL;MANCHESTER UNITED;Domingo;0;0;1;1,61;4,5;4,75
1216;11;ATALANTA BERGAMAS;LAZIO;Domingo;0;1;0;1,75;4;4,5
1216;12;BAHIA/BA;GREMIO/RS;Domingo;1;0;0;1,72;3,8;4,75
1216;13;MILAN;FIORENTINA;Domingo;1;0;0;1,53;4,2;6
1216;14;GETAFE;REAL MADRID;Domingo;0;0;1;8;4,33;1,42
1215;1;PONTE PRETA/SP;GUARANI/SP;Sábado;1;0;0;2,3;3,1;2,9
1215;2;PALMEIRAS/SP;JUVENTUDE/RS;Sábado;1;0;0;1,25;5,5;15
1215;3;ESTONIA;ITALIA;Sábado;0;0;1;26;13;1,06
1215;4;BULGARIA;TURQUIA;Sábado;0;0;1;10,5;5,5;1,28
1215;5;ESPANHA;GEORGIA;Sábado;1;0;0;1,14;8,5;17
1215;6;SERVIA/SER;ALBANIA;Sábado;0;0;1;1,7;3,4;5,75
1215;7;PORTUGAL;IRLANDA;Sábado;1;0;0;1,12;8,5;21
1215;8;NOVORIZONTINO/SP;OPERARIO/PR;Domingo;1;0;0;1,9;3;4,75
1215;9;HOLANDA;FINLANDIA;Domingo;1;0;0;1,08;9,5;29
1215;10;CRICIUMA/SC;AMERICA/MG;Domingo;1;0;0;1,95;3,25;4,1
1215;11;CUIABA/MT;CORITIBA/PR;Domingo;1;0;0;2,35;3;3,25
1215;12;ROMENIA;AUSTRIA;Domingo;1;0;0;4,33;3,75;1,8
1215;13;DINAMARCA;GRECIA;Domingo;1;0;0;1,61;4;5,5
1215;14;LITUANIA;POLONIA;Domingo;0;0;1;8;4,33;1,42
1214;1;SAO PAULO/SP;PALMEIRAS/SP;Domingo;0;0;1;3,5;3,1;2,25
1214;2;CHAPECOENSE/SC;NOVORIZONTINO/SP;Sábado;1;0;0;2,8;3;2,62
1214;3;BRAGANTINO/SP;GREMIO/RS;Sábado;1;0;0;1,9;3,4;4,2
1214;4;VOLTA REDONDA/RJ;GOIAS/GO;Sábado;0;1;0;2,75;3;2,75
1214;5;FLUMINENSE/RJ;ATLETICO/MG;Sábado;1;0;0;2;3,2;4,2
1214;6;INTERNACIONAL/RS;BOTAFOGO/RJ;Sábado;1;0;0;2,3;3,25;3,2
1214;7;FERROVIARIA/SP;AMERICA/MG;Sábado;0;0;1;2,6;3,1;2,87
1214;8;CORINTHIANS/SP;MIRASSOL/SP;Sábado;1;0;0;1,95;3,3;4,2
1214;9;VASCO DA GAMA/RJ;VITORIA/BA;Domingo;1;0;0;1,66;3,75;5,25
