Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3;pred_top1;pred_top2;pred_top3;hit_rank;p_top1;p_top2;p_top3
1124;7;INTERNACIONAL/RS;DELFIN;Domingo;1;0;0;0,775579199;0,14557025;0,078850552;0,775579199;0,14557025;0,078850552;1;0;0;1;X;2;1;0.775579;0.145570;0.078851
1124;8;CRICIUMA/SC;CUIABA/MT;Domingo;0;0;1;0,474820144;0,287769784;0,237410072;0,474820144;0,287769784;0,237410072;0;0;1;1;X;2;3;0.474820;0.287770;0.237410
1124;9;AVAI/SC;CHAPECOENSE/SC;Domingo;0;1;0;0,507261607;0,276009992;0,2167284;0,507261607;0,276009992;0,2167284;0;1;0;1;X;2;2;0.507262;0.276010;0.216728
1124;10;FRANCA;CANADA;Domingo;0;1;0;0,778443114;0,143712575;0,077844311;0,778443114;0,143712575;0,077844311;0;1;0;1;X;2;2;0.778443;0.143713;0.077844
1124;11;CRB/AL;FORTALEZA/CE;Domingo;1;0;0;0,335234054;0,282853733;0,381912213;0,381912213;0,335234054;0,282853733;0;1;0;2;1;X;2;0.381912;0.335234;0.282854
1124;12;ATHLETIC CLUB/MG;VOLTA REDONDA/RJ;Domingo;1;0;0;0,492051476;0,277062831;0,230885693;0,492051476;0,277062831;0,230885693;1;0;0;1;X;2;1;0.492051;0.277063;0.230886
1124;13;AMERICA/MG;PONTE PRETA/SP;Domingo;1;0;0;0,639187085;0,242563304;0,118249611;0,639187085;0,242563304;0,118249611;1;0;0;1;X;2;1;0.639187;0.242563;0.118250
1124;14;ARGENTINA;EQUADOR;Domingo;1;0;0;0,597340536;0,243714939;0,158944525;0,597340536;0,243714939;0,158944525;1;0;0;1;X;2;1;0.597341;0.243715;0.158945
1125;1;ESTADOS UNIDOS;BRASIL;Domingo;0;1;0;0,168394437;0,205815424;0,625790139;0,625790139;0,205815424;0,168394437;0;1;0;2;X;1;2;0.625790;0.205815;0.168394
1125;2;ATLETICO/GO;CORINTHIANS/SP;Domingo;0;1;0;0,352017662;0,316815896;0,331166442;0,352017662;0,331166442;0,316815896;0;0;1;1;2;X;3;0.352018;0.331166;0.316816
1125;3;JUVENTUDE/RS;VITORIA/BA;Domingo;0;1;0;0,442607552;0,306969754;0,250422694;0,442607552;0,306969754;0,250422694;0;1;0;1;X;2;2;0.442608;0.306970;0.250423
1125;4;MIRASSOL/SP;GOIAS/GO;Domingo;1;0;0;0,427670477;0,30350808;0,268821443;0,427670477;0,30350808;0,268821443;1;0;0;1;X;2;1;0.427670;0.303508;0.268821
1125;5;BOTAFOGO/RJ;FLUMINENSE/RJ;Domingo;1;0;0;0,481137233;0,284308365;0,234554401;0,481137233;0,284308365;0,234554401;1;0;0;1;X;2;1;0.481137;0.284308;0.234554
